date,district,rainfall_mm,river_gauge_m,danger_gauge_m,gauge_exceed,population_density,road_accessibility_index,distance_to_coast_km,past_incident_30d,lat,lon,relief_kits_demand,rainfall_lag1,gauge_lag1,rainfall_lag3,gauge_lag3,rainfall_lag7,gauge_lag7,rainfall_lag14,gauge_lag14,rainfall_roll3,demand_roll3,rainfall_roll7,demand_roll7,rainfall_roll14,demand_roll14,rainfall_roll30,demand_roll30,gauge_trend_7,doy,sin_doy,cos_doy,is_monsoon,is_cyclone_season,district_cat
2021-01-11,Balasore,1.8,1.72,5.8,0.0,601,0.62,15,0,21.5,86.93,76,0.9,1.78,1.7,2.0,2.7,2.5,,,7.7,84.0,18.7,80.14285714285714,,,,,-0.78,11,0.18809941761179758,0.9821499931752291,0,0,Balasore
2021-01-12,Balasore,3.2,1.63,5.8,0.0,601,0.62,15,0,21.5,86.93,78,1.8,1.72,5.0,1.92,0.0,2.28,,,5.9,78.0,21.900000000000002,81.28571428571429,,,,,-0.6499999999999999,12,0.20496611396949532,0.9787690698649216,0,0,Balasore
2021-01-13,Balasore,0.3,1.52,5.8,0.0,601,0.62,15,0,21.5,86.93,72,3.2,1.63,0.9,1.78,3.5,2.17,,,5.3,75.33333333333333,18.7,80.28571428571429,,,,,-0.6499999999999999,13,0.22177215755648186,0.975098513039961,0,0,Balasore
2021-01-14,Balasore,0.2,1.43,5.8,0.0,601,0.62,15,0,21.5,86.93,75,0.3,1.52,1.8,1.72,5.8,2.1,,,3.7,75.0,13.100000000000001,77.42857142857143,25.9,77.78571428571429,,,-0.6700000000000002,14,0.23851257519407648,0.9711394088771653,0,0,Balasore
2021-01-15,Balasore,0.9,1.37,5.8,0.0,601,0.62,15,0,21.5,86.93,81,0.2,1.43,3.2,1.63,1.7,2.0,0.1,3.22,1.4,76.0,12.3,79.71428571428571,26.7,77.85714285714286,,,-0.6299999999999999,15,0.2551824131233728,0.9668929289391521,0,0,Balasore
2021-01-16,Balasore,2.4,1.32,5.8,0.0,601,0.62,15,0,21.5,86.93,81,0.9,1.37,0.3,1.52,5.0,1.92,0.5,2.97,3.5,79.0,9.7,77.57142857142857,28.599999999999998,78.78571428571429,,,-0.5999999999999999,16,0.2717767384711357,0.9623603298276545,0,0,Balasore
2021-01-17,Balasore,0.2,1.18,5.8,0.0,601,0.62,15,0,21.5,86.93,74,2.4,1.32,0.2,1.43,0.9,1.78,0.2,2.71,3.4999999999999996,78.66666666666667,9.0,76.71428571428571,28.599999999999998,78.64285714285714,,,-0.6000000000000001,17,0.2882906407095177,0.9575429528116719,0,0,Balasore
2021-01-18,Balasore,0.9,1.12,5.8,0.0,601,0.62,15,0,21.5,86.93,74,0.2,1.18,0.9,1.37,1.8,1.72,2.7,2.5,3.4999999999999996,76.33333333333333,8.1,76.42857142857143,26.8,78.28571428571429,,,-0.5999999999999999,18,0.3047192331091634,0.9524422234305676,0,0,Balasore
2021-01-19,Balasore,0.6,1.02,5.8,0.0,601,0.62,15,0,21.5,86.93,62,0.9,1.12,2.4,1.32,3.2,1.63,0.0,2.28,1.6999999999999997,70.0,5.5,74.14285714285714,27.4,77.71428571428571,,,-0.6099999999999999,19,0.321057654185271,0.9470596510722283,0,0,Balasore
2021-01-20,Balasore,0.6,0.99,5.8,0.0,601,0.62,15,0,21.5,86.93,63,0.6,1.02,0.2,1.18,0.3,1.52,3.5,2.17,2.0999999999999996,66.33333333333333,5.8,72.85714285714286,24.5,76.57142857142857,,,-0.53,20,0.3373010691361842,0.9413968285264122,0,0,Balasore
2021-01-21,Balasore,0.6,0.9,5.8,0.0,601,0.62,15,0,21.5,86.93,79,0.6,0.99,0.9,1.12,0.2,1.43,5.8,2.1,1.7999999999999998,68.0,6.2,73.42857142857143,19.3,75.42857142857143,,,-0.5299999999999999,21,0.3534446712740877,0.9354554315134164,0,0,Balasore
2021-01-22,Balasore,0.2,0.83,5.8,0.0,601,0.62,15,0,21.5,86.93,75,0.6,0.9,0.6,1.02,0.9,1.37,1.7,2.0,1.3999999999999995,72.33333333333333,5.499999999999999,72.57142857142857,17.8,76.14285714285714,,,-0.5400000000000001,22,0.3694836834473831,0.9292372181882051,0,0,Balasore
2021-01-23,Balasore,2.4,0.85,5.8,0.0,601,0.62,15,0,21.5,86.93,83,0.2,0.83,0.6,0.99,2.4,1.32,5.0,1.92,3.1999999999999993,79.0,5.5,72.85714285714286,15.2,75.21428571428571,,,-0.4700000000000001,23,0.38541335945432564,0.9227440286201427,0,0,Balasore
2021-01-24,Balasore,0.3,0.79,5.8,0.0,601,0.62,15,0,21.5,86.93,77,2.4,0.85,0.6,0.9,0.2,1.18,0.9,1.78,2.8999999999999995,78.33333333333333,5.6,73.28571428571429,14.6,75.0,,,-0.3899999999999999,24,0.4012289854475009,0.9159777842484877,0,0,Balasore
2021-01-25,Balasore,0.4,0.73,5.8,0.0,601,0.62,15,0,21.5,86.93,76,0.3,0.79,0.2,0.83,0.9,1.12,1.8,1.72,3.1,78.66666666666667,5.1,73.57142857142857,13.200000000000001,75.0,,,-0.3900000000000001,25,0.4169258813287287,0.908940487313808,0,0,Balasore
2021-01-26,Balasore,0.8,0.67,5.8,0.0,601,0.62,15,0,21.5,86.93,79,0.4,0.73,2.4,0.85,0.6,1.02,3.2,1.63,1.5,77.33333333333333,5.3,76.0,10.8,75.07142857142857,,,-0.35,26,0.4324994021339788,0.901634220265486,0,0,Balasore
2021-01-27,Balasore,3.6,0.67,5.8,0.0,601,0.62,15,0,21.5,86.93,75,0.8,0.67,0.3,0.79,0.6,0.99,0.3,1.52,4.8,76.66666666666667,8.3,77.71428571428571,14.1,75.28571428571429,,,-0.31999999999999995,27,0.44794493940789115,0.8940611451454876,0,0,Balasore
2021-01-28,Balasore,0.4,0.6,5.8,0.0,601,0.62,15,0,21.5,86.93,76,3.6,0.67,0.4,0.73,0.6,0.9,0.2,1.43,4.8,76.66666666666667,8.1,77.28571428571429,14.3,75.35714285714286,,,-0.30000000000000004,28,0.4632579225674917,0.88622350294858,0,0,Balasore
2021-01-29,Balasore,0.1,0.61,5.8,0.0,601,0.62,15,0,21.5,86.93,74,0.4,0.6,0.8,0.67,0.2,0.83,0.9,1.37,4.1000000000000005,75.0,8.0,77.14285714285714,13.5,74.85714285714286,,,-0.21999999999999997,29,0.4784338202547012,0.8781236129591848,0,0,Balasore
2021-01-30,Balasore,0.9,0.59,5.8,0.0,601,0.62,15,0,21.5,86.93,82,0.1,0.61,3.6,0.67,2.4,0.85,2.4,1.32,1.4000000000000004,77.33333333333333,6.5,77.0,12.000000000000002,74.92857142857143,41.2,76.66666666666667,-0.26,30,0.49346814167723735,0.8697638720650646,0,0,Balasore
2021-01-31,Balasore,1.3,0.56,5.8,0.0,601,0.62,15,0,21.5,86.93,53,0.9,0.59,0.4,0.6,0.3,0.79,0.2,1.18,2.3000000000000007,69.66666666666667,7.5,73.57142857142857,13.1,73.42857142857143,42.4,75.76666666666667,-0.22999999999999998,31,0.5083564379375122,0.8611467540480452,0,0,Balasore
2021-02-01,Balasore,0.9,0.55,5.8,0.0,601,0.62,15,0,21.5,86.93,88,1.3,0.56,0.1,0.61,0.4,0.73,0.9,1.12,3.1000000000000005,74.33333333333333,8.0,75.28571428571429,13.1,74.42857142857143,42.8,76.43333333333334,-0.17999999999999994,32,0.5230943033491326,0.8522748088519838,0,0,Balasore
2021-02-02,Balasore,0.1,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,77,0.9,0.55,0.9,0.59,0.8,0.67,0.6,1.02,2.3000000000000007,72.66666666666667,7.300000000000001,75.0,12.6,75.5,42.7,76.46666666666667,-0.17000000000000004,33,0.5376773767406141,0.8431506618282,0,0,Balasore
2021-02-03,Balasore,0.7,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,75,0.1,0.5,1.3,0.56,3.6,0.67,0.6,0.99,1.7000000000000004,80.0,4.4,75.0,12.700000000000001,76.35714285714286,40.7,76.33333333333333,-0.17000000000000004,34,0.5521013427459208,0.8337770129585915,0,0,Balasore
2021-02-04,Balasore,0.4,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,67,0.7,0.5,0.9,0.55,0.4,0.6,0.6,0.9,1.2000000000000004,73.0,4.3999999999999995,73.71428571428571,12.5,75.5,41.1,76.23333333333333,-0.09999999999999998,35,0.5663619330814524,0.8241566360566663,0,0,Balasore
2021-02-05,Balasore,2.9,0.53,5.8,0.0,601,0.62,15,0,21.5,86.93,77,0.4,0.5,0.1,0.5,0.1,0.61,0.2,0.83,4.0,73.0,7.2,74.14285714285714,15.2,75.64285714285714,40.5,76.16666666666667,-0.07999999999999996,36,0.580454927809098,0.8142923779467267,0,0,Balasore
2021-02-06,Balasore,0.3,0.58,5.8,0.0,601,0.62,15,0,21.5,86.93,74,2.9,0.53,0.7,0.5,0.9,0.59,2.4,0.85,3.6000000000000005,72.66666666666667,6.6,73.0,13.100000000000001,75.0,35.0,75.46666666666667,-0.010000000000000009,37,0.5943761565849831,0.804187157621448,0,0,Balasore
2021-02-07,Balasore,3.0,0.58,5.8,0.0,601,0.62,15,0,21.5,86.93,90,0.3,0.58,0.4,0.5,1.3,0.56,0.3,0.79,6.2,80.33333333333333,8.3,78.28571428571429,15.8,75.92857142857143,36.3,76.3,0.019999999999999907,38,0.6081214998935418,0.7938439653781019,0,0,Balasore
2021-02-08,Balasore,3.0,0.6,5.8,0.0,601,0.62,15,0,21.5,86.93,89,3.0,0.58,2.9,0.53,0.9,0.55,0.4,0.73,6.300000000000001,84.33333333333333,10.399999999999999,78.42857142857143,18.4,76.85714285714286,34.3,76.06666666666666,0.04999999999999993,39,0.6216868902665479,0.7832658619336791,0,0,Balasore
2021-02-09,Balasore,0.2,0.59,5.8,0.0,601,0.62,15,0,21.5,86.93,76,3.0,0.6,0.3,0.58,0.1,0.5,0.8,0.67,6.200000000000001,85.0,10.5,78.28571428571429,17.8,76.64285714285714,33.6,75.93333333333334,0.08999999999999997,40,0.6350683134867438,0.7724559775191742,0,0,Balasore
2021-02-10,Balasore,0.3,0.57,5.8,0.0,601,0.62,15,0,21.5,86.93,77,0.2,0.59,3.0,0.58,0.7,0.5,3.6,0.67,3.500000000000001,80.66666666666667,10.100000000000001,78.57142857142857,14.5,76.78571428571429,32.1,75.96666666666667,0.06999999999999995,41,0.6482618097757122,0.7614175109532997,0,0,Balasore
2021-02-11,Balasore,1.0,0.56,5.8,0.0,601,0.62,15,0,21.5,86.93,75,0.3,0.57,3.0,0.6,0.4,0.5,0.4,0.6,1.5000000000000009,76.0,10.7,79.71428571428571,15.1,76.71428571428571,29.9,75.86666666666666,0.06000000000000005,42,0.6612634749656386,0.7501537286959042,0,0,Balasore
2021-02-12,Balasore,3.9,0.59,5.8,0.0,601,0.62,15,0,21.5,86.93,75,1.0,0.56,0.2,0.59,2.9,0.53,0.1,0.61,5.200000000000001,75.66666666666667,11.7,79.42857142857143,18.9,76.78571428571429,33.5,75.96666666666667,0.05999999999999994,43,0.6740694616546161,0.7386679638813748,0,0,Balasore
2021-02-13,Balasore,0.2,0.53,5.8,0.0,601,0.62,15,0,21.5,86.93,68,3.9,0.59,0.3,0.57,0.3,0.58,0.9,0.59,5.1000000000000005,72.66666666666667,11.6,78.57142857142857,18.2,75.78571428571429,33.5,75.73333333333333,-0.04999999999999993,44,0.6866759803451553,0.726963615332308,0,0,Balasore
2021-02-14,Balasore,0.2,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,78,0.2,0.53,1.0,0.56,3.0,0.58,1.3,0.56,4.300000000000001,73.66666666666667,8.8,76.85714285714286,17.1,77.57142857142857,32.8,75.63333333333334,-0.07999999999999996,45,0.6990793005655562,0.7150441465537444,0,0,Balasore
2021-02-15,Balasore,2.4,0.51,5.8,0.0,601,0.62,15,0,21.5,86.93,82,0.2,0.5,3.9,0.59,3.0,0.6,0.9,0.55,2.8000000000000003,76.0,8.2,75.85714285714286,18.599999999999998,77.14285714285714,32.8,75.66666666666667,-0.08999999999999997,46,0.7112757519738152,0.7029130847082615,0,0,Balasore
2021-02-16,Balasore,0.7,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,70,2.4,0.51,0.2,0.53,0.2,0.59,0.1,0.5,3.3,76.66666666666667,8.7,75.0,19.2,76.64285714285714,33.3,75.53333333333333,-0.08999999999999997,47,0.7232617254437388,0.6905740195722294,0,0,Balasore
2021-02-17,Balasore,0.5,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,68,0.7,0.5,0.2,0.5,0.3,0.57,0.7,0.5,3.6000000000000005,73.33333333333333,8.899999999999999,73.71428571428571,19.0,76.14285714285714,32.9,75.33333333333333,-0.06999999999999995,48,0.7350336741329412,0.6780306024735382,0,0,Balasore
2021-02-18,Balasore,3.3,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,84,0.5,0.5,2.4,0.51,1.0,0.56,0.4,0.5,4.5,74.0,11.2,75.0,21.9,77.35714285714286,35.599999999999994,76.06666666666666,-0.06000000000000005,49,0.746588114532413,0.6652865452111116,0,0,Balasore
2021-02-19,Balasore,1.4,0.52,5.8,0.0,601,0.62,15,0,21.5,86.93,73,3.3,0.5,0.7,0.5,3.9,0.59,2.9,0.53,5.2,75.0,8.7,74.71428571428571,20.4,77.07142857142857,36.4,76.4,-0.06999999999999995,50,0.7579216274973472,0.6523456189565257,0,0,Balasore
2021-02-20,Balasore,1.1,0.52,5.8,0.0,601,0.62,15,0,21.5,86.93,70,1.4,0.52,0.5,0.5,0.2,0.53,0.3,0.58,5.800000000000001,75.66666666666667,9.6,75.0,21.2,76.78571428571429,36.900000000000006,76.1,-0.010000000000000009,51,0.7690308592589181,0.6392116531380588,0,0,Balasore
2021-02-21,Balasore,0.2,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,74,1.1,0.52,3.3,0.5,0.2,0.5,3.0,0.58,2.7000000000000006,72.33333333333333,9.599999999999998,74.42857142857143,18.4,75.64285714285714,36.9,76.06666666666666,0.0,52,0.7799125224167177,0.6258885343075018,0,0,Balasore
2021-02-22,Balasore,3.4,0.55,5.8,0.0,601,0.62,15,0,21.5,86.93,85,0.2,0.5,1.4,0.52,2.4,0.51,3.0,0.6,4.700000000000001,76.33333333333333,10.6,74.85714285714286,18.8,75.35714285714286,37.9,76.13333333333334,0.040000000000000036,53,0.7905633969115482,0.612380204990065,0,0,Balasore
2021-02-23,Balasore,1.5,0.57,5.8,0.0,601,0.62,15,0,21.5,86.93,69,3.4,0.55,1.1,0.52,0.7,0.5,0.2,0.59,5.1000000000000005,76.0,11.399999999999999,74.71428571428571,20.1,74.85714285714286,39.099999999999994,75.86666666666666,0.06999999999999995,54,0.8009803309782905,0.5986906625177214,0,0,Balasore
2021-02-24,Balasore,0.6,0.51,5.8,0.0,601,0.62,15,0,21.5,86.93,71,1.5,0.57,0.2,0.5,0.5,0.5,0.3,0.57,5.5,75.0,11.499999999999998,75.14285714285714,20.4,74.42857142857143,39.3,75.7,0.010000000000000009,55,0.8111602420785621,0.5848239578463322,0,0,Balasore
2021-02-25,Balasore,0.2,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,76,0.6,0.51,3.4,0.55,3.3,0.5,1.0,0.56,2.3000000000000003,72.0,8.4,74.0,19.599999999999998,74.5,38.7,75.6,0.0,56,0.8211001178128892,0.5707841943569036,0,0,Balasore
2021-02-26,Balasore,1.4,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,85,0.2,0.5,1.5,0.57,1.4,0.52,3.9,0.59,2.2,77.33333333333333,8.4,75.71428571428571,17.1,75.21428571428571,36.5,75.93333333333334,-0.020000000000000018,57,0.8307970168121247,0.5565755266413303,0,0,Balasore
2021-02-27,Balasore,3.2,0.56,5.8,0.0,601,0.62,15,0,21.5,86.93,82,1.4,0.5,0.6,0.51,1.1,0.52,0.2,0.53,4.800000000000001,81.0,10.5,77.42857142857143,20.1,76.21428571428571,39.3,76.13333333333334,0.040000000000000036,58,0.8402480696078469,0.5422021592729844,0,0,Balasore
2021-02-28,Balasore,1.9,0.57,5.8,0.0,601,0.62,15,0,21.5,86.93,73,3.2,0.56,0.2,0.5,0.2,0.5,0.2,0.5,6.5,80.0,12.200000000000001,77.28571428571429,21.799999999999997,75.85714285714286,41.1,76.1,0.06999999999999995,59,0.8494504794814806,0.527668345562516,0,0,Balasore
2021-03-01,Balasore,0.4,0.52,5.8,0.0,601,0.62,15,0,21.5,86.93,68,1.9,0.57,1.4,0.5,3.4,0.55,2.4,0.51,5.500000000000001,74.33333333333333,9.200000000000001,74.85714285714286,19.8,74.85714285714286,40.6,75.63333333333334,-0.030000000000000027,60,0.8584015232918917,0.512978386299228,0,0,Balasore
2021-03-02,Balasore,0.4,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,73,0.4,0.52,3.2,0.56,1.5,0.57,0.7,0.5,2.7,71.33333333333333,8.1,75.42857142857143,19.5,75.07142857142857,39.699999999999996,76.3,-0.06999999999999995,61,0.8670985522812081,0.4981366284784055,0,0,Balasore
2021-03-03,Balasore,0.8,0.51,5.8,0.0,601,0.62,15,0,21.5,86.93,73,0.4,0.5,1.9,0.57,0.6,0.51,0.5,0.5,1.6000000000000005,71.33333333333333,8.3,75.71428571428571,19.8,75.42857142857143,39.599999999999994,75.8,0.0,62,0.8755389928586302,0.4831474640149687,0,0,Balasore
2021-03-04,Balasore,0.7,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,61,0.8,0.51,0.4,0.52,0.2,0.5,3.3,0.5,1.9000000000000006,69.0,8.8,73.57142857142857,17.2,73.78571428571429,40.199999999999996,75.26666666666667,0.0,63,0.8837203473619977,0.4680153284438345,0,0,Balasore
2021-03-05,Balasore,0.7,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,63,0.7,0.5,0.4,0.5,1.4,0.5,1.4,0.52,2.2,65.66666666666667,8.1,70.42857142857143,16.5,73.07142857142857,40.2,74.86666666666666,0.0,64,0.8916401947968874,0.45274469960737107,0,0,Balasore
2021-03-06,Balasore,0.5,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,60,0.7,0.5,0.8,0.51,3.2,0.56,1.1,0.52,1.9000000000000004,61.333333333333336,5.4,67.28571428571429,15.9,72.35714285714286,40.300000000000004,74.63333333333334,-0.06000000000000005,65,0.8992961915530253,0.4373400963303323,0,0,Balasore
2021-03-07,Balasore,6.8,0.56,5.8,0.0,601,0.62,15,0,21.5,86.93,89,0.5,0.5,0.7,0.5,1.9,0.57,0.2,0.5,8.0,70.66666666666667,10.299999999999999,69.57142857142857,22.5,73.42857142857143,44.199999999999996,75.03333333333333,-0.009999999999999898,66,0.9066860720977985,0.4218060770826634,0,0,Balasore
2021-03-08,Balasore,1.0,0.54,5.8,0.0,601,0.62,15,0,21.5,86.93,80,6.8,0.56,0.7,0.5,0.4,0.52,3.4,0.55,8.3,76.33333333333333,10.899999999999999,71.28571428571429,20.099999999999998,73.07142857142857,44.9,75.23333333333333,0.020000000000000018,67,0.9138076496466615,0.40614723863057883,0,0,Balasore
2021-03-09,Balasore,0.7,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,79,1.0,0.54,0.5,0.5,0.4,0.5,1.5,0.57,8.5,82.66666666666667,11.199999999999998,72.14285714285714,19.299999999999997,73.78571428571429,42.6,74.86666666666666,0.0,68,0.9206588168102428,0.3903682146763026,0,0,Balasore
2021-03-10,Balasore,3.2,0.53,5.8,0.0,601,0.62,15,0,21.5,86.93,72,0.7,0.5,6.8,0.56,0.8,0.51,0.6,0.51,4.9,77.0,13.6,72.0,21.9,73.85714285714286,42.8,74.3,0.020000000000000018,69,0.9272375462179537,0.374473674486883,0,0,Balasore
2021-03-11,Balasore,1.0,0.53,5.8,0.0,601,0.62,15,0,21.5,86.93,69,3.2,0.53,1.0,0.54,0.7,0.5,0.2,0.5,4.9,73.33333333333333,13.899999999999999,73.14285714285714,22.700000000000003,73.35714285714286,43.599999999999994,74.06666666666666,0.030000000000000027,70,0.9335418911179212,0.35846832151248087,0,0,Balasore
2021-03-12,Balasore,0.7,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,66,1.0,0.53,0.7,0.5,0.7,0.5,1.4,0.5,4.9,69.0,13.899999999999999,73.57142857142857,22.0,72.0,44.0,73.7,0.0,71,0.9395699859530622,0.342356891994542,0,0,Balasore
2021-03-13,Balasore,3.2,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,80,0.7,0.5,3.2,0.53,0.5,0.5,3.2,0.56,4.9,71.66666666666667,16.6,76.42857142857143,22.0,71.85714285714286,46.2,73.86666666666666,0.0,72,0.945320046913132,0.3261441535642696,0,0,Balasore
2021-03-14,Balasore,1.3,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,80,3.2,0.5,1.0,0.53,6.8,0.56,1.9,0.57,5.2,75.33333333333333,11.1,75.14285714285714,21.400000000000002,72.35714285714286,43.6,74.03333333333333,-0.06000000000000005,73,0.9507903724625832,0.3098349038318025,0,0,Balasore
2021-03-15,Balasore,0.5,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,79,1.3,0.5,0.7,0.5,1.0,0.54,0.4,0.52,5.0,79.66666666666667,10.600000000000001,75.0,21.5,73.14285714285714,43.9,74.4,-0.040000000000000036,74,0.9559793438440766,0.2934339689665273,0,0,Balasore
2021-03-16,Balasore,3.0,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,75,0.5,0.5,3.2,0.5,0.7,0.5,0.4,0.5,4.8,78.0,12.899999999999999,74.42857142857143,24.1,73.28571428571429,46.7,74.3,0.0,75,0.9608854255574977,0.27694620226893646,0,0,Balasore
2021-03-17,Balasore,1.8,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,77,3.0,0.5,1.3,0.5,3.2,0.53,0.8,0.51,5.3,77.0,11.5,75.14285714285714,25.1,73.57142857142857,46.099999999999994,74.13333333333334,-0.030000000000000027,76,0.9655071658143364,0.2603764827344581,0,0,Balasore
2021-03-18,Balasore,1.7,0.51,5.8,0.0,601,0.62,15,0,21.5,86.93,71,1.8,0.5,0.5,0.5,1.0,0.53,0.7,0.5,6.5,74.33333333333333,12.2,75.42857142857143,26.1,74.28571428571429,47.1,74.16666666666667,-0.020000000000000018,77,0.969843196967294,0.24372971360968387,0,0,Balasore
2021-03-19,Balasore,0.0,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,72,1.7,0.51,3.0,0.5,0.7,0.5,0.7,0.5,3.5,73.33333333333333,11.5,76.28571428571429,25.400000000000002,74.92857142857143,46.6,74.3,0.0,78,0.9738922359149924,0.22701082094141847,0,0,Balasore
2021-03-20,Balasore,0.4,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,69,0.0,0.5,1.8,0.5,3.2,0.5,0.5,0.5,2.1,70.66666666666667,8.7,74.71428571428571,25.3,75.57142857142857,43.699999999999996,73.8,0.0,79,0.9776530844816641,0.2102247521189836,0,0,Balasore
2021-03-21,Balasore,0.5,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,70,0.4,0.5,1.7,0.51,1.3,0.5,6.8,0.56,0.9,70.33333333333333,7.8999999999999995,73.28571428571429,19.0,74.21428571428571,42.8,73.7,0.0,80,0.981124629771712,0.19337647441020586,0,0,Balasore
2021-03-22,Balasore,2.2,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,69,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.54,3.1,69.33333333333333,9.6,71.85714285714286,20.2,73.42857142857143,43.900000000000006,73.66666666666667,0.0,81,0.984305844499033,0.17647097349152166,0,0,Balasore
2021-03-23,Balasore,0.9,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,56,2.2,0.5,0.4,0.5,3.0,0.5,0.7,0.5,3.6,65.0,7.499999999999999,69.14285714285714,20.400000000000002,71.78571428571429,44.6,73.06666666666666,0.0,82,0.9871957872910085,0.15951325197263655,0,0,Balasore
2021-03-24,Balasore,2.6,0.56,5.8,0.0,601,0.62,15,0,21.5,86.93,76,0.9,0.5,0.5,0.5,1.8,0.5,3.2,0.53,5.7,67.0,8.299999999999999,69.0,19.8,72.07142857142857,43.800000000000004,72.76666666666667,0.06000000000000005,83,0.9897936029670716,0.14250832791617088,0,0,Balasore
2021-03-25,Balasore,0.7,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,75,2.6,0.56,2.2,0.5,1.7,0.51,1.0,0.53,4.2,69.0,7.299999999999999,69.57142857142857,19.5,72.5,43.0,72.96666666666667,-0.010000000000000009,84,0.992098522791769,0.12546123335273648,0,0,Balasore
2021-03-26,Balasore,1.3,0.5,5.8,0.0,601,0.62,15,0,21.5,86.93,76,0.7,0.5,0.9,0.5,0.0,0.5,0.7,0.5,4.6,75.66666666666667,8.6,70.14285714285714,20.099999999999998,73.21428571428571,43.7,73.13333333333334,0.0,85,0.9941098647022418,0.10837701279187609,0,0,Balasore
