date,district,rainfall_mm,river_gauge_m,danger_gauge_m,gauge_exceed,population_density,road_accessibility_index,distance_to_coast_km,past_incident_30d,lat,lon,relief_kits_demand
2021-01-31,Puri,1.3,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-02-01,Puri,0.8,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,64
2021-02-02,Puri,0.8,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,56
2021-02-03,Puri,5.8,0.57,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-02-04,Puri,1.2,0.58,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-02-05,Puri,1.8,0.61,5.5,0.0,488,0.55,5,0,19.8,85.83,66
2021-02-06,Puri,0.1,0.54,5.5,0.0,488,0.55,5,0,19.8,85.83,54
2021-02-07,Puri,0.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,56
2021-02-08,Puri,0.9,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,67
2021-02-09,Puri,3.3,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,77
2021-02-10,Puri,0.6,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,53
2021-02-11,Puri,0.2,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-02-12,Puri,1.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-02-13,Puri,1.8,0.51,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-02-14,Puri,1.2,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-02-15,Puri,1.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,66
2021-02-16,Puri,0.4,0.52,5.5,0.0,488,0.55,5,0,19.8,85.83,50
2021-02-17,Puri,1.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-02-18,Puri,1.8,0.52,5.5,0.0,488,0.55,5,0,19.8,85.83,59
2021-02-19,Puri,1.3,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,58
2021-02-20,Puri,0.3,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,54
2021-02-21,Puri,1.2,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,64
2021-02-22,Puri,3.1,0.54,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-02-23,Puri,0.3,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-02-24,Puri,1.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-02-25,Puri,1.7,0.51,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-02-26,Puri,0.8,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-02-27,Puri,0.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,53
2021-02-28,Puri,0.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-03-01,Puri,1.0,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,59
2021-03-02,Puri,0.2,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-03-03,Puri,2.3,0.52,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-03-04,Puri,1.5,0.53,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-03-05,Puri,2.1,0.54,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-03-06,Puri,0.3,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-03-07,Puri,5.4,0.51,5.5,0.0,488,0.55,5,0,19.8,85.83,71
2021-03-08,Puri,0.5,0.51,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-03-09,Puri,0.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-03-10,Puri,0.9,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,56
2021-03-11,Puri,1.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-03-12,Puri,0.8,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-03-13,Puri,2.0,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-03-14,Puri,0.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,56
2021-03-15,Puri,2.1,0.57,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-03-16,Puri,2.3,0.6,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-03-17,Puri,0.4,0.58,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-03-18,Puri,1.9,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-03-19,Puri,0.2,0.51,5.5,0.0,488,0.55,5,0,19.8,85.83,56
2021-03-20,Puri,0.1,0.52,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-03-21,Puri,0.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,55
2021-03-22,Puri,1.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,67
2021-03-23,Puri,0.6,0.52,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-03-24,Puri,0.2,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-03-25,Puri,1.7,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-03-26,Puri,0.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,56
2021-03-27,Puri,2.1,0.53,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-03-28,Puri,1.3,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,58
2021-03-29,Puri,0.5,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-03-30,Puri,1.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,66
2021-03-31,Puri,0.8,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-04-01,Puri,2.1,0.54,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-04-02,Puri,1.0,0.53,5.5,0.0,488,0.55,5,0,19.8,85.83,59
2021-04-03,Puri,0.9,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,59
2021-04-04,Puri,5.5,0.6,5.5,0.0,488,0.55,5,0,19.8,85.83,77
2021-04-05,Puri,2.2,0.6,5.5,0.0,488,0.55,5,0,19.8,85.83,58
2021-04-06,Puri,0.3,0.59,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-04-07,Puri,0.9,0.57,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-04-08,Puri,0.6,0.54,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-04-09,Puri,0.6,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,64
2021-04-10,Puri,1.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-04-11,Puri,0.5,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-04-12,Puri,2.6,0.51,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-04-13,Puri,1.2,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-04-14,Puri,1.7,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,66
2021-04-15,Puri,1.1,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-04-16,Puri,1.6,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-04-17,Puri,1.4,0.5,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-04-18,Puri,7.6,0.59,5.5,0.0,488,0.55,5,0,19.8,85.83,75
2021-04-19,Puri,7.9,0.68,5.5,0.0,488,0.55,5,0,19.8,85.83,82
2021-04-20,Puri,0.8,0.65,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-04-21,Puri,6.9,0.71,5.5,0.0,488,0.55,5,0,19.8,85.83,78
2021-04-22,Puri,2.5,0.66,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-04-23,Puri,7.2,0.79,5.5,0.0,488,0.55,5,0,19.8,85.83,81
2021-04-24,Puri,0.9,0.69,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-04-25,Puri,5.5,0.74,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-04-26,Puri,5.2,0.79,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-04-27,Puri,1.9,0.75,5.5,0.0,488,0.55,5,0,19.8,85.83,58
2021-04-28,Puri,3.4,0.76,5.5,0.0,488,0.55,5,0,19.8,85.83,73
2021-04-29,Puri,3.2,0.72,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-04-30,Puri,6.2,0.83,5.5,0.0,488,0.55,5,0,19.8,85.83,78
2021-05-01,Puri,2.4,0.87,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-05-02,Puri,9.4,1.01,5.5,0.0,488,0.55,5,0,19.8,85.83,83
2021-05-03,Puri,7.5,1.11,5.5,0.0,488,0.55,5,0,19.8,85.83,78
2021-05-04,Puri,0.1,1.02,5.5,0.0,488,0.55,5,0,19.8,85.83,54
2021-05-05,Puri,4.8,1.08,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-05-06,Puri,0.2,1.0,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-05-07,Puri,2.4,0.98,5.5,0.0,488,0.55,5,0,19.8,85.83,74
2021-05-08,Puri,0.8,0.91,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-05-09,Puri,6.9,0.96,5.5,0.0,488,0.55,5,0,19.8,85.83,75
2021-05-10,Puri,1.1,0.9,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-05-11,Puri,0.8,0.91,5.5,0.0,488,0.55,5,0,19.8,85.83,57
2021-05-12,Puri,3.4,0.88,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-05-13,Puri,4.2,0.89,5.5,0.0,488,0.55,5,0,19.8,85.83,78
2021-05-14,Puri,2.7,0.86,5.5,0.0,488,0.55,5,0,19.8,85.83,77
2021-05-15,Puri,1.8,0.78,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-05-16,Puri,12.5,0.98,5.5,0.0,488,0.55,5,0,19.8,85.83,76
2021-05-17,Puri,5.4,1.01,5.5,0.0,488,0.55,5,0,19.8,85.83,79
2021-05-18,Puri,1.2,0.93,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-05-19,Puri,0.5,0.85,5.5,0.0,488,0.55,5,0,19.8,85.83,64
2021-05-20,Puri,1.0,0.85,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-05-21,Puri,10.6,1.0,5.5,0.0,488,0.55,5,0,19.8,85.83,89
2021-05-22,Puri,1.6,0.92,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-05-23,Puri,4.1,0.95,5.5,0.0,488,0.55,5,0,19.8,85.83,84
2021-05-24,Puri,0.6,0.91,5.5,0.0,488,0.55,5,0,19.8,85.83,66
2021-05-25,Puri,2.4,0.87,5.5,0.0,488,0.55,5,0,19.8,85.83,58
2021-05-26,Puri,5.9,0.89,5.5,0.0,488,0.55,5,0,19.8,85.83,63
2021-05-27,Puri,4.5,0.88,5.5,0.0,488,0.55,5,0,19.8,85.83,60
2021-05-28,Puri,3.0,0.89,5.5,0.0,488,0.55,5,0,19.8,85.83,69
2021-05-29,Puri,7.0,0.99,5.5,0.0,488,0.55,5,0,19.8,85.83,81
2021-05-30,Puri,2.9,0.98,5.5,0.0,488,0.55,5,0,19.8,85.83,52
2021-05-31,Puri,0.5,0.91,5.5,0.0,488,0.55,5,0,19.8,85.83,67
2021-06-01,Puri,12.9,1.05,5.5,0.0,488,0.55,5,0,19.8,85.83,90
2021-06-02,Puri,3.2,1.03,5.5,0.0,488,0.55,5,0,19.8,85.83,75
2021-06-03,Puri,18.7,1.31,5.5,0.0,488,0.55,5,0,19.8,85.83,92
2021-06-04,Puri,13.0,1.5,5.5,0.0,488,0.55,5,0,19.8,85.83,90
2021-06-05,Puri,14.0,1.66,5.5,0.0,488,0.55,5,0,19.8,85.83,92
2021-06-06,Puri,11.9,1.74,5.5,0.0,488,0.55,5,0,19.8,85.83,80
2021-06-07,Puri,9.3,1.79,5.5,0.0,488,0.55,5,0,19.8,85.83,72
2021-06-08,Puri,12.3,1.88,5.5,0.0,488,0.55,5,0,19.8,85.83,93
2021-06-09,Puri,13.4,1.98,5.5,0.0,488,0.55,5,0,19.8,85.83,90
2021-06-10,Puri,20.9,2.23,5.5,0.0,488,0.55,5,0,19.8,85.83,108
2021-06-11,Puri,0.2,2.03,5.5,0.0,488,0.55,5,0,19.8,85.83,67
2021-06-12,Puri,10.0,2.12,5.5,0.0,488,0.55,5,0,19.8,85.83,81
2021-06-13,Puri,21.9,2.32,5.5,0.0,488,0.55,5,0,19.8,85.83,110
2021-06-14,Puri,1.1,2.19,5.5,0.0,488,0.55,5,0,19.8,85.83,64
2021-06-15,Puri,19.6,2.47,5.5,0.0,488,0.55,5,0,19.8,85.83,105
2021-06-16,Puri,6.3,2.38,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-06-17,Puri,12.0,2.41,5.5,0.0,488,0.55,5,0,19.8,85.83,85
2021-06-18,Puri,29.4,2.79,5.5,0.0,488,0.55,5,0,19.8,85.83,134
2021-06-19,Puri,8.6,2.71,5.5,0.0,488,0.55,5,0,19.8,85.83,77
2021-06-20,Puri,24.5,2.96,5.5,0.0,488,0.55,5,0,19.8,85.83,108
2021-06-21,Puri,18.5,3.15,5.5,0.0,488,0.55,5,0,19.8,85.83,107
2021-06-22,Puri,0.6,2.95,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-06-23,Puri,16.9,3.02,5.5,0.0,488,0.55,5,0,19.8,85.83,91
2021-06-24,Puri,14.5,3.09,5.5,0.0,488,0.55,5,0,19.8,85.83,85
2021-06-25,Puri,4.9,2.95,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-06-26,Puri,52.0,3.74,5.5,0.0,488,0.55,5,0,19.8,85.83,163
2021-06-27,Puri,3.7,3.51,5.5,0.0,488,0.55,5,0,19.8,85.83,73
2021-06-28,Puri,14.7,3.56,5.5,0.0,488,0.55,5,0,19.8,85.83,86
2021-06-29,Puri,11.9,3.5,5.5,0.0,488,0.55,5,0,19.8,85.83,87
2021-06-30,Puri,28.8,3.76,5.5,0.0,488,0.55,5,0,19.8,85.83,126
2021-07-01,Puri,10.8,3.63,5.5,0.0,488,0.55,5,0,19.8,85.83,87
2021-07-02,Puri,13.9,3.67,5.5,0.0,488,0.55,5,0,19.8,85.83,101
2021-07-03,Puri,152.6,6.4,5.5,0.9000000000000004,488,0.55,5,1,19.8,85.83,756
2021-07-04,Puri,107.1,8.03,5.5,2.5299999999999994,488,0.55,5,2,19.8,85.83,1397
2021-07-05,Puri,18.8,7.76,5.5,2.26,488,0.55,5,3,19.8,85.83,497
2021-07-06,Puri,14.9,7.42,5.5,1.92,488,0.55,5,4,19.8,85.83,392
2021-07-07,Puri,11.7,7.1,5.5,1.5999999999999996,488,0.55,5,5,19.8,85.83,395
2021-07-08,Puri,47.5,7.42,5.5,1.92,488,0.55,5,6,19.8,85.83,869
2021-07-09,Puri,1.9,6.84,5.5,1.3399999999999999,488,0.55,5,7,19.8,85.83,341
2021-07-10,Puri,38.0,7.09,5.5,1.5899999999999999,488,0.55,5,8,19.8,85.83,770
2021-07-11,Puri,32.0,7.13,5.5,1.63,488,0.55,5,9,19.8,85.83,781
2021-07-12,Puri,8.7,6.75,5.5,1.25,488,0.55,5,10,19.8,85.83,428
2021-07-13,Puri,12.4,6.45,5.5,0.9500000000000002,488,0.55,5,11,19.8,85.83,417
2021-07-14,Puri,10.8,6.18,5.5,0.6799999999999997,488,0.55,5,12,19.8,85.83,342
2021-07-15,Puri,29.2,6.26,5.5,0.7599999999999998,488,0.55,5,13,19.8,85.83,594
2021-07-16,Puri,22.9,6.18,5.5,0.6799999999999997,488,0.55,5,14,19.8,85.83,575
2021-07-17,Puri,8.8,5.9,5.5,0.40000000000000036,488,0.55,5,15,19.8,85.83,366
2021-07-18,Puri,1.4,5.47,5.5,0.0,488,0.55,5,15,19.8,85.83,217
2021-07-19,Puri,0.3,5.09,5.5,0.0,488,0.55,5,15,19.8,85.83,213
2021-07-20,Puri,8.6,4.87,5.5,0.0,488,0.55,5,15,19.8,85.83,263
2021-07-21,Puri,18.5,4.85,5.5,0.0,488,0.55,5,15,19.8,85.83,344
2021-07-22,Puri,22.5,4.86,5.5,0.0,488,0.55,5,15,19.8,85.83,366
2021-07-23,Puri,19.6,4.86,5.5,0.0,488,0.55,5,15,19.8,85.83,302
2021-07-24,Puri,8.6,4.62,5.5,0.0,488,0.55,5,15,19.8,85.83,262
2021-07-25,Puri,19.9,4.62,5.5,0.0,488,0.55,5,15,19.8,85.83,334
2021-07-26,Puri,41.4,5.09,5.5,0.0,488,0.55,5,15,19.8,85.83,462
2021-07-27,Puri,119.4,7.02,5.5,1.5199999999999996,488,0.55,5,16,19.8,85.83,2716
2021-07-28,Puri,2.5,6.52,5.5,1.0199999999999996,488,0.55,5,17,19.8,85.83,481
2021-07-29,Puri,6.4,6.11,5.5,0.6100000000000003,488,0.55,5,18,19.8,85.83,431
2021-07-30,Puri,1.9,5.63,5.5,0.1299999999999999,488,0.55,5,19,19.8,85.83,300
2021-07-31,Puri,40.7,6.01,5.5,0.5099999999999998,488,0.55,5,20,19.8,85.83,914
2021-08-01,Puri,18.7,5.88,5.5,0.3799999999999999,488,0.55,5,21,19.8,85.83,613
2021-08-02,Puri,17.4,5.8,5.5,0.2999999999999998,488,0.55,5,21,19.8,85.83,577
2021-08-03,Puri,6.3,5.46,5.5,0.0,488,0.55,5,20,19.8,85.83,284
2021-08-04,Puri,65.1,6.34,5.5,0.8399999999999999,488,0.55,5,20,19.8,85.83,1419
2021-08-05,Puri,7.5,6.0,5.5,0.5,488,0.55,5,20,19.8,85.83,498
2021-08-06,Puri,1.2,5.55,5.5,0.04999999999999982,488,0.55,5,20,19.8,85.83,246
2021-08-07,Puri,26.2,5.64,5.5,0.13999999999999968,488,0.55,5,20,19.8,85.83,526
2021-08-08,Puri,25.5,5.72,5.5,0.21999999999999975,488,0.55,5,20,19.8,85.83,538
2021-08-09,Puri,21.9,5.71,5.5,0.20999999999999996,488,0.55,5,20,19.8,85.83,476
2021-08-10,Puri,17.0,5.57,5.5,0.07000000000000028,488,0.55,5,20,19.8,85.83,429
2021-08-11,Puri,35.1,5.82,5.5,0.3200000000000003,488,0.55,5,20,19.8,85.83,699
2021-08-12,Puri,25.4,5.89,5.5,0.3899999999999997,488,0.55,5,20,19.8,85.83,589
2021-08-13,Puri,7.0,5.55,5.5,0.04999999999999982,488,0.55,5,20,19.8,85.83,338
2021-08-14,Puri,8.9,5.32,5.5,0.0,488,0.55,5,19,19.8,85.83,272
2021-08-15,Puri,3.9,5.01,5.5,0.0,488,0.55,5,18,19.8,85.83,249
2021-08-16,Puri,15.0,4.92,5.5,0.0,488,0.55,5,17,19.8,85.83,350
2021-08-17,Puri,27.4,5.08,5.5,0.0,488,0.55,5,17,19.8,85.83,452
2021-08-18,Puri,30.8,5.27,5.5,0.0,488,0.55,5,17,19.8,85.83,463
2021-08-19,Puri,38.9,5.62,5.5,0.1200000000000001,488,0.55,5,18,19.8,85.83,553
2021-08-20,Puri,39.2,5.94,5.5,0.4400000000000004,488,0.55,5,19,19.8,85.83,809
2021-08-21,Puri,7.9,5.59,5.5,0.08999999999999986,488,0.55,5,20,19.8,85.83,344
2021-08-22,Puri,4.0,5.22,5.5,0.0,488,0.55,5,20,19.8,85.83,264
2021-08-23,Puri,13.2,5.1,5.5,0.0,488,0.55,5,20,19.8,85.83,363
2021-08-24,Puri,7.9,4.81,5.5,0.0,488,0.55,5,20,19.8,85.83,271
2021-08-25,Puri,14.4,4.72,5.5,0.0,488,0.55,5,20,19.8,85.83,312
2021-08-26,Puri,15.5,4.64,5.5,0.0,488,0.55,5,19,19.8,85.83,340
2021-08-27,Puri,4.9,4.34,5.5,0.0,488,0.55,5,18,19.8,85.83,275
2021-08-28,Puri,26.1,4.56,5.5,0.0,488,0.55,5,17,19.8,85.83,440
2021-08-29,Puri,4.4,4.27,5.5,0.0,488,0.55,5,16,19.8,85.83,211
2021-08-30,Puri,15.7,4.29,5.5,0.0,488,0.55,5,15,19.8,85.83,340
2021-08-31,Puri,36.7,4.66,5.5,0.0,488,0.55,5,14,19.8,85.83,433
2021-09-01,Puri,5.1,4.4,5.5,0.0,488,0.55,5,13,19.8,85.83,183
2021-09-02,Puri,10.9,4.26,5.5,0.0,488,0.55,5,13,19.8,85.83,252
2021-09-03,Puri,2.8,3.97,5.5,0.0,488,0.55,5,12,19.8,85.83,203
2021-09-04,Puri,32.5,4.29,5.5,0.0,488,0.55,5,11,19.8,85.83,330
2021-09-05,Puri,9.0,4.2,5.5,0.0,488,0.55,5,10,19.8,85.83,213
2021-09-06,Puri,3.7,3.96,5.5,0.0,488,0.55,5,9,19.8,85.83,178
2021-09-07,Puri,30.9,4.28,5.5,0.0,488,0.55,5,8,19.8,85.83,279
2021-09-08,Puri,17.9,4.32,5.5,0.0,488,0.55,5,7,19.8,85.83,190
2021-09-09,Puri,10.5,4.23,5.5,0.0,488,0.55,5,6,19.8,85.83,171
2021-09-10,Puri,11.7,4.12,5.5,0.0,488,0.55,5,5,19.8,85.83,163
2021-09-11,Puri,7.1,3.94,5.5,0.0,488,0.55,5,4,19.8,85.83,108
2021-09-12,Puri,3.8,3.71,5.5,0.0,488,0.55,5,3,19.8,85.83,98
2021-09-13,Puri,6.2,3.55,5.5,0.0,488,0.55,5,3,19.8,85.83,112
2021-09-14,Puri,32.3,3.92,5.5,0.0,488,0.55,5,3,19.8,85.83,199
2021-09-15,Puri,21.9,4.06,5.5,0.0,488,0.55,5,3,19.8,85.83,151
2021-09-16,Puri,6.9,3.86,5.5,0.0,488,0.55,5,3,19.8,85.83,100
2021-09-17,Puri,6.9,3.7,5.5,0.0,488,0.55,5,3,19.8,85.83,122
2021-09-18,Puri,2.4,3.43,5.5,0.0,488,0.55,5,2,19.8,85.83,85
2021-09-19,Puri,8.2,3.37,5.5,0.0,488,0.55,5,1,19.8,85.83,88
2021-09-20,Puri,5.3,3.16,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-09-21,Puri,1.5,2.96,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-09-22,Puri,0.9,2.77,5.5,0.0,488,0.55,5,0,19.8,85.83,54
2021-09-23,Puri,11.1,2.77,5.5,0.0,488,0.55,5,0,19.8,85.83,90
2021-09-24,Puri,2.6,2.59,5.5,0.0,488,0.55,5,0,19.8,85.83,64
2021-09-25,Puri,8.8,2.52,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-09-26,Puri,22.2,2.77,5.5,0.0,488,0.55,5,0,19.8,85.83,99
2021-09-27,Puri,10.3,2.78,5.5,0.0,488,0.55,5,0,19.8,85.83,88
2021-09-28,Puri,21.7,2.99,5.5,0.0,488,0.55,5,0,19.8,85.83,105
2021-09-29,Puri,13.7,3.01,5.5,0.0,488,0.55,5,0,19.8,85.83,84
2021-09-30,Puri,32.0,3.41,5.5,0.0,488,0.55,5,0,19.8,85.83,130
2021-10-01,Puri,3.2,3.19,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-10-02,Puri,13.4,3.13,5.5,0.0,488,0.55,5,0,19.8,85.83,89
2021-10-03,Puri,16.7,3.23,5.5,0.0,488,0.55,5,0,19.8,85.83,98
2021-10-04,Puri,2.3,3.01,5.5,0.0,488,0.55,5,0,19.8,85.83,61
2021-10-05,Puri,8.4,2.9,5.5,0.0,488,0.55,5,0,19.8,85.83,74
2021-10-06,Puri,6.8,2.81,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-10-07,Puri,6.8,2.7,5.5,0.0,488,0.55,5,0,19.8,85.83,70
2021-10-08,Puri,2.4,2.52,5.5,0.0,488,0.55,5,0,19.8,85.83,62
2021-10-09,Puri,4.7,2.43,5.5,0.0,488,0.55,5,0,19.8,85.83,68
2021-10-10,Puri,32.4,2.91,5.5,0.0,488,0.55,5,0,19.8,85.83,123
2021-10-11,Puri,10.4,2.87,5.5,0.0,488,0.55,5,0,19.8,85.83,83
2021-10-12,Puri,22.8,3.11,5.5,0.0,488,0.55,5,0,19.8,85.83,106
2021-10-13,Puri,31.9,3.51,5.5,0.0,488,0.55,5,0,19.8,85.83,121
2021-10-14,Puri,42.9,4.09,5.5,0.0,488,0.55,5,0,19.8,85.83,129
2021-10-15,Puri,4.6,3.84,5.5,0.0,488,0.55,5,0,19.8,85.83,65
2021-10-16,Puri,16.9,3.86,5.5,0.0,488,0.55,5,0,19.8,85.83,93
2021-10-17,Puri,42.8,4.42,5.5,0.0,488,0.55,5,0,19.8,85.83,164
2021-10-18,Puri,10.5,4.28,5.5,0.0,488,0.55,5,0,19.8,85.83,82
